	id	title	all_artists	popularity	release_date	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
239	6xKXkSSJqv6ttwL8bj3Dm2	Time Today	Kero Kero Bonito	2	2018-10-01	0.506	0.677	3	-5.73	1	0.229	0.000183	0.0897	0.327	175.655	131595	4
240	4aIoxZWHySrA3BpnmeREXJ	Only Acting	Kero Kero Bonito	2	2018-10-01	0.677	0.723	7	-5.111	1	0.0572	0.0	0.268	0.474	124.01	229855	4
241	2eqyjSNjjTmq8A0P69nEQF	Flyway	Kero Kero Bonito	2	2018-10-01	0.401	0.897	2	-4.361	1	0.00657	0.191	0.425	0.511	144.863	118707	4
242	6PZNj9qWs6oguSyN9J5H7X	Dump	Kero Kero Bonito	2	2018-10-01	0.6	0.773	2	-7.508	1	0.563	0.659	0.9	0.147	95.021	181687	4
243	2LS1T6x2O0WZUwg0wJLx84	Make Believe	Kero Kero Bonito	1	2018-10-01	0.547	0.759	5	-5.554	1	0.53	4.47e-06	0.12	0.5	143.985	207708	4
244	22S1MHT1f6iKk0o4A6AMMU	Dear Future Self	Kero Kero Bonito	0	2018-10-01	0.629	0.488	10	-6.785	1	0.828	4.83e-05	0.426	0.308	128.03	166787	4
245	721pXflhiZHuHCTCrNkLmj	Visiting Hours	Kero Kero Bonito	0	2018-10-01	0.52	0.873	0	-4.627	1	0.026	2.82e-05	0.255	0.526	128.991	145491	4
246	2Qdw8LtIwHHZ0L3ON2Vldn	If I'd Known	Kero Kero Bonito	0	2018-10-01	0.74	0.618	7	-5.127	1	0.309	0.0019	0.0811	0.865	100.972	163884	4
247	6RpOwx05L1XK3Zix8heU4Z	Sometimes	Kero Kero Bonito	0	2018-10-01	0.618	0.481	2	-6.412	1	0.749	0.0	0.124	0.528	125.053	121191	4
248	3fpKJgC5xCpdOYZVpIJThH	Swimming	Kero Kero Bonito	2	2018-10-01	0.68	0.608	2	-5.512	1	0.686	0.0	0.0972	0.599	119.998	199498	4
249	049r3d1mkg6Nnreiixetlu	Rest Stop	Kero Kero Bonito	0	2018-10-01	0.708	0.573	0	-8.494	0	0.302	0.000106	0.13	0.0481	99.05	202543	4
250	6d5KjyeBSbzh6bbczubWko	Waking Up	Kero Kero Bonito	1	2016-10-21	0.861	0.67	0	-3.49	1	0.239	0.0	0.0568	0.844	94.959	177000	4
251	4cyjLMvPunnFEXB0Gvz5py	Heard a Song	Kero Kero Bonito	0	2016-10-21	0.919	0.531	10	-5.125	1	0.354	3.43e-06	0.275	0.611	98.775	199083	4
252	2oNLDoWxa2UniEXpF69oUJ	Graduation	Kero Kero Bonito	0	2016-10-21	0.808	0.676	6	-4.552	1	0.0321	0.000726	0.0504	0.68	90.004	199843	4
253	3QPyRWKapHyVNp0MoOjevW	Fish Bowl	Kero Kero Bonito	0	2016-10-21	0.932	0.473	1	-6.052	1	0.133	0.000641	0.065	0.689	114.997	105522	4
254	2gDXQb8n9zQgFA2TrjMFD8	Big City	Kero Kero Bonito	0	2016-10-21	0.765	0.939	7	-3.743	1	0.0496	0.0172	0.215	0.762	111.013	172027	4
255	6u4xZnL4W0YSLXw24k2zlJ	Break	Kero Kero Bonito	0	2016-10-21	0.848	0.734	11	-5.072	1	0.168	0.00331	0.0512	0.859	96.009	196875	4
256	2oZHqyiEdQvZimjrdQrEtF	Lipslap	Kero Kero Bonito	0	2016-10-21	0.812	0.828	4	-4.984	0	0.0343	0.00104	0.347	0.909	124.035	219677	4
257	1szcqjv31ORgVlb9hrrY9V	Try Me	Kero Kero Bonito	0	2016-10-21	0.907	0.568	10	-6.742	1	0.0409	0.00467	0.0693	0.659	107.017	209720	4
258	4A4QwXMCRwkAL2UBJUHvpP	Paintbrush	Kero Kero Bonito	0	2016-10-21	0.783	0.38	10	-6.051	1	0.36	0.00034	0.0952	0.652	122.023	57295	4
259	3LuLUNgRmmgcr14dTIWH2S	Trampoline	Kero Kero Bonito	1	2016-10-21	0.856	0.863	10	-4.318	0	0.0525	0.0	0.384	0.673	124.998	243840	4
260	0f2uHiRUJoiUIPVzcpPosh	Picture This	Kero Kero Bonito	0	2016-10-21	0.744	0.821	11	-4.549	0	0.00139	6.11e-05	0.112	0.674	106.975	204497	4
261	7BXhoa9BEQ5u4Qu6PMu5rl	Hey Parents	Kero Kero Bonito	0	2016-10-21	0.836	0.645	9	-4.855	1	0.0851	1.94e-06	0.102	0.894	179.925	202844	4
262	51RN0kzWd7xeR4th5HsEtW	IGOR'S THEME	Tyler, The Creator	70	2019-05-17	0.467	0.672	10	-7.371	0	0.00559	0.243	0.607	0.0648	163.1	200693	4
263	5hVghJ4KaYES3BFUATCYn0	EARFQUAKE	Tyler, The Creator	82	2019-05-17	0.554	0.498	9	-8.866	1	0.23	5.98e-06	0.795	0.413	79.635	190067	4
264	4f8Mh5wuWHOsfXtzjrJB3t	I THINK	Tyler, The Creator	75	2019-05-17	0.826	0.579	8	-8.241	0	0.00881	0.0	0.129	0.431	121.075	212013	4
265	5e4LIAQI0bClLazNf2gZV0	EXACTLY WHAT YOU RUN FROM YOU END UP CHASING	Tyler, The Creator	11	2019-05-17	0.0	0.478	11	-16.569	0	0.927	0.0	0.335	0.0	0.0	14627	0
266	5QvBXUm5MglLJ3iBfTX2Wo	RUNNING OUT OF TIME	Tyler, The Creator	74	2019-05-17	0.36	0.391	6	-10.6	1	0.296	0.000406	0.129	0.162	84.281	177227	4
267	0fv2KH6hac06J86hBUTcSf	NEW MAGIC WAND	Tyler, The Creator	83	2019-05-17	0.621	0.73	5	-5.414	0	0.0967	0.000131	0.673	0.464	139.566	195320	4
268	1nXZnTALNXiPlvXotqHm66	A BOY IS A GUN*	Tyler, The Creator	73	2019-05-17	0.417	0.689	2	-8.302	0	0.575	0.0	0.496	0.505	79.568	210253	4
269	0wEC0GNF74lAqrEFZJMl1m	PUPPET	Tyler, The Creator	70	2019-05-17	0.508	0.557	8	-8.967	0	0.00235	0.0134	0.588	0.199	77.572	179013	4
270	6bOkaEXc5CopinGazSLokx	WHAT'S GOOD	Tyler, The Creator	68	2019-05-17	0.458	0.909	1	-6.553	1	0.0567	4.26e-06	0.11	0.449	118.227	205627	4
271	1hz7SRTGUNAtIQ46qiNv2p	GONE, GONE / THANK YOU	Tyler, The Creator	79	2019-05-17	0.518	0.492	10	-8.436	0	0.216	0.0012	0.146	0.471	78.848	375387	4
272	5A0M6B0RBSXSNWv0wcppZ9	I DON'T LOVE YOU ANYMORE	Tyler, The Creator	68	2019-05-17	0.638	0.522	8	-9.814	1	0.352	0.0663	0.165	0.584	142.952	161200	4
273	5TxRUOsGeWeRl3xOML59Ai	ARE WE STILL FRIENDS?	Tyler, The Creator	81	2019-05-17	0.216	0.497	10	-8.025	1	0.128	2.39e-06	0.111	0.313	187.308	265480	3
274	33i3xxHB4YSYGYbtJrwwO8	Foreword (feat. Rex Orange County)	Rex Orange County	65	2017-07-21	0.734	0.671	1	-7.107	1	0.118	0.00317	0.352	0.113	94.025	194080	4
